station_id,state_slug,carretera_id,carretera,clave_carretera,ruta,punto_generador,tipo,sc,km,lat,lon,tdpa_2024,pct_M,pct_A,pct_B,pct_C2,pct_C3,pct_T3S2,pct_T3S3,pct_T3S2R4,pct_OTROS,pct_AA,pct_BB,pct_CC,d_val,k_prima,rubro
687a5e5d9b36b04cf0b7fd05,aguascalientes,1,Aguascalientes - Ent. Cd. de Los Niños,01130,AGS,T. C. Aguascalientes - Jalpa,3,1,0,21.861771,-102.338254,18831,4.5,91.7,0.3,2,0.6,0.5,0.1,0.2,0.1,96.2,0.3,3.5,0.505,0.088,estaciones
687a5e5d9b36b04cf0b7fd06,aguascalientes,1,Aguascalientes - Ent. Cd. de Los Niños,01130,AGS,T. C. Aguascalientes - Jalpa,3,2,0,21.861593,-102.338292,19225,4.4,91.8,0.5,1.9,0.7,0.3,0.1,0.2,0.1,96.2,0.5,3.3,0.505,0.079,estaciones
687a5e5d9b36b04cf0b7fd07,aguascalientes,1,Aguascalientes - Ent. Cd. de Los Niños,01130,AGS,T. C. Ent. Penitenciaría - Villa Hidalgo,1,0,8,21.837188,-102.374098,1198,6.2,85.1,0.6,5.1,1.7,0.6,0.3,0.4,0,91.3,0.6,8.1,0.518,0.108,estaciones
687a5e5d9b36b04cf0b7fd08,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Aguascalientes,3,1,0,21.874069,-102.334859,12394,4.1,89.2,1.6,3,0.9,0.6,0.1,0.4,0.1,93.3,1.6,5.1,0.507,0.105,estaciones
687a5e5d9b36b04cf0b7fd0a,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Aguascalientes,3,2,0,21.873917,-102.334814,12737,6.5,87,1.4,2.9,1,0.5,0.1,0.4,0.2,93.5,1.4,5.1,0.507,0.098,estaciones
687a5e5d9b36b04cf0b80bb1,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Der. Jesús María,1,1,7.3,21.881465,-102.362691,11251,4.2,88.8,1.1,4.3,0.9,0.5,0.1,0.1,0,93,1.1,5.9,0.515,0.104,estaciones
687a5e5d9b36b04cf0b80bb3,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Der. Jesús María,1,2,7.3,21.881306,-102.362602,11927,5.1,88.5,1,3.8,0.9,0.5,0.1,0.1,0,93.6,1,5.4,0.515,0.11,estaciones
687a5e5d9b36b04cf0b80bb5,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Izq. Villa Hidalgo,3,1,7.8,21.884623,-102.374465,6056,2.6,90.1,1.8,2.5,1.4,1.3,0.1,0.2,0,92.7,1.8,5.5,0.501,0.162,estaciones
687a5e5d9b36b04cf0b80bb7,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Izq. Villa Hidalgo,3,2,7.8,21.884457,-102.374517,6079,2.5,90,1.5,2.8,1.5,1.2,0.2,0.2,0.1,92.5,1.5,6,0.501,0.162,estaciones
687a5e5d9b36b04cf0b80bb9,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Libramiento Poniente de Aguascalientes,1,1,11,21.889823,-102.393945,6187,2.2,90.9,1.4,2.9,1,0.7,0.5,0.3,0.1,93.1,1.4,5.5,0.509,0.16,estaciones
687a5e5d9b36b04cf0b80bbb,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Libramiento Poniente de Aguascalientes,1,2,11,21.889711,-102.393991,6421,2,90.7,1.5,3.3,1.1,0.8,0.4,0.1,0.1,92.7,1.5,5.8,0.509,0.16,estaciones
687a5e5d9b36b04cf0b80bbd,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Libramiento Poniente de Aguascalientes,3,1,11,21.892704,-102.40479,6367,2.6,90.3,1.1,3.1,1.6,0.7,0.4,0.2,0,92.9,1.1,6,0.504,0.16,estaciones
687a5e5d9b36b04cf0b80bbf,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Libramiento Poniente de Aguascalientes,3,2,11,21.892666,-102.404803,6458,2.1,91.2,0.9,2.9,1.7,0.6,0.3,0.3,0,93.3,0.9,5.8,0.504,0.16,estaciones
687a5e5d9b36b04cf0b80bc1,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Der. Gracias a Dios,3,0,20,21.886793,-102.466337,10043,1.8,91.2,1.3,4,0.8,0.7,0.2,0,0,93,1.3,5.7,0.502,0.128,estaciones
687a5e5d9b36b04cf0b80bc3,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Izq. El Salitre,3,0,23.17,21.889821,-102.501667,8947,3.2,89,1.8,2.7,1.5,1.1,0.4,0.2,0.1,92.2,1.8,6,0.504,0.096,estaciones
687a5e5d9b36b04cf0b80bc5,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Izq. Malpaso,1,0,45.1,21.880885,-102.653291,8622,3,91.2,1.3,2.3,1,0.6,0.2,0.3,0.1,94.2,1.3,4.5,0.524,0.109,estaciones
687a5e5d9b36b04cf0b80bc7,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Der. Presa La Codorníz,3,1,49.3,21.863653,-102.692502,10569,4.3,89.2,1.7,2.8,0.9,0.4,0.3,0.3,0.1,93.5,1.7,4.8,0.523,0.088,estaciones
687a5e5d9b36b04cf0b80bc9,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Der. Presa La Codorníz,3,2,49.3,21.863601,-102.692345,11570,5.4,87.5,1.6,2.9,1,0.6,0.3,0.4,0.3,92.9,1.6,5.5,0.523,0.088,estaciones
687a5e5d9b36b04cf0b80bcb,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Calvillo,3,1,52.3,21.83425,-102.748144,5386,3,91.3,1,2.2,0.8,0.8,0.4,0.4,0.1,94.3,1,4.7,0.501,0.096,estaciones
687a5e5d9b36b04cf0b80bcd,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Calvillo,3,2,52.3,21.834117,-102.748073,5354,2.9,91.9,0.7,2.4,0.7,0.6,0.4,0.3,0.1,94.8,0.7,4.5,0.501,0.087,estaciones
687a5e5d9b36b04cf0b80bcf,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. Der. Jaltiche de Abajo,3,0,63.8,21.773627,-102.803368,2580,1.8,90.2,1.4,3.8,1.6,0.8,0.4,0,0,92,1.4,6.6,0.504,0.1,estaciones
687a5e5d9b36b04cf0b80bd1,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,Lim. Edos. Term. Ags. Ppia. Zac.,,,65.66,,,,,,,,,,,,,,,,,,estaciones
687a5e5d9b36b04cf0b80bd3,aguascalientes,2,Aguascalientes - Jalpa,00095,MEX-070,T. C. Guadalajara - Zacatecas,1,0,90.66,21.652804,-102.963402,5099,2.8,71.2,1.4,17.6,3.1,1.6,1.1,1.1,0.1,74,1.4,24.6,0.518,0.085,estaciones
687a5e5d9b36b04cf0b80bd5,aguascalientes,3,Aguascalientes - Jesús María,01112,AGS-095,T. C. Aguascalientes - Zacatecas,,,0,,,,,,,,,,,,,,,,,,estaciones
687a5e5d9b36b04cf0b80bd6,aguascalientes,3,Aguascalientes - Jesús María,01112,AGS-095,Pocitos,3,1,3.3,21.920655,-102.315458,32987,4.7,91.5,0.3,1.5,0.5,0.3,0.1,0.9,0.2,96.2,0.3,3.5,0.512,0.09,estaciones
687a5e5d9b36b04cf0b80bd7,aguascalientes,3,Aguascalientes - Jesús María,01112,AGS-095,Pocitos,3,2,3.3,21.920347,-102.315489,34722,4.8,91,0.4,1.6,0.4,0.4,0.2,1,0.2,95.8,0.4,3.8,0.512,0.083,estaciones
687a5e5d9b36b04cf0b80bd8,aguascalientes,3,Aguascalientes - Jesús María,01112,AGS-095,T. Der. Maravillas,3,1,7,21.93882,-102.325437,13909,5.1,90.2,0.7,2.8,0.3,0.2,0.2,0.3,0.2,95.3,0.7,4,0.506,0.086,estaciones
687a5e5d9b36b04cf0b80bd9,aguascalientes,3,Aguascalientes - Jesús María,01112,AGS-095,T. Der. Maravillas,3,2,7,21.938767,-102.325637,13567,5.3,90.3,0.5,2.9,0.4,0.2,0.1,0.2,0.1,95.6,0.5,3.9,0.506,0.086,estaciones
687a5e5d9b36b04cf0b80bda,aguascalientes,3,Aguascalientes - Jesús María,01112,AGS-095,Jesús María,1,1,8.1,21.949203,-102.332443,12378,9.3,83.6,0.7,4,0.8,0.5,0.5,0.5,0.1,92.9,0.7,6.4,0.504,0.089,estaciones
687a5e5d9b36b04cf0b80bdb,aguascalientes,3,Aguascalientes - Jesús María,01112,AGS-095,Jesús María,1,2,8.1,21.949125,-102.332606,12185,9.5,84.3,0.5,3.8,0.7,0.4,0.3,0.4,0.1,93.8,0.5,5.7,0.504,0.128,estaciones
687a5e5d9b36b04cf0b80bdc,aguascalientes,4,Aguascalientes - José María Morelos,01131,AGS,Las Cumbres (Av. Siglo XXI),3,0,0,21.929534,-102.235041,5527,3.7,87,0.9,5,2.3,0.6,0.4,0.1,0,90.7,0.9,8.4,0.509,0.087,estaciones
687a5e5d9b36b04cf0b80bdd,aguascalientes,4,Aguascalientes - José María Morelos,01131,AGS,T. Der. San Jose de La Ordeña,3,0,8,21.960616,-102.214991,3724,3.8,82.9,1.3,7.6,2.2,1,0.7,0.5,0,86.7,1.3,12,0.523,0.088,estaciones
687a5e5d9b36b04cf0b80bde,aguascalientes,4,Aguascalientes - José María Morelos,01131,AGS,José María Morelos,,,12.6,,,,,,,,,,,,,,,,,,estaciones
687a5e5d9b36b04cf0b805a3,aguascalientes,5,Ent. La Calavera - Ent. San Pedro,01102,AGS-043,T. C. Ojuelos - Aguascalientes,3,0,0,21.824867,-102.089502,3969,7.4,82.1,3.1,3.6,2.3,1.1,0.2,0.2,0,89.5,3.1,7.4,0.502,0.086,estaciones
687a5e5d9b36b04cf0b805a4,aguascalientes,5,Ent. La Calavera - Ent. San Pedro,01102,AGS-043,T. Der. Palo Alto,1,0,15,21.912796,-101.977718,3941,7.7,81.3,2,6.3,1.6,0.8,0.2,0.1,0,89,2,9,0.502,0.081,estaciones
687a5e5d9b36b04cf0b805a5,aguascalientes,5,Ent. La Calavera - Ent. San Pedro,01102,AGS-043,T. Der. Palo Alto,3,0,15,21.925174,-101.971208,3491,5.6,85.2,1.8,3.9,2.1,0.6,0.4,0.3,0.1,90.8,1.8,7.4,0.523,0.095,estaciones
687a5e5d9b36b04cf0b805a6,aguascalientes,5,Ent. La Calavera - Ent. San Pedro,01102,AGS-043,T. Izq. Ent. El Novillo - Villa Juárez,1,0,28.1,22.006715,-101.996819,3111,6.5,81.1,2.3,6.1,2.2,0.7,0.5,0.4,0.2,87.6,2.3,10.1,0.501,0.138,estaciones
687a5e5d9b36b04cf0b805a7,aguascalientes,5,Ent. La Calavera - Ent. San Pedro,01102,AGS-043,T. Izq. Ent. El Novillo - Villa Juárez,3,0,28.1,22.012966,-101.992868,2795,5.8,81.5,1.7,6.5,2,1.6,0.4,0.3,0.2,87.3,1.7,11,0.501,0.109,estaciones
687a5e5d9b36b04cf0b805a8,aguascalientes,5,Ent. La Calavera - Ent. San Pedro,01102,AGS-043,Pilotos,3,0,33.5,22.039646,-101.961071,3872,5.8,82,1.6,6.8,1.8,1.2,0.3,0.3,0.2,87.8,1.6,10.6,0.506,0.114,estaciones
687a5e5d9b36b04cf0b805a9,aguascalientes,5,Ent. La Calavera - Ent. San Pedro,01102,AGS-043,T. C. Rivier - San Marcos,1,0,47.6,22.135918,-102.040621,3765,6,84.5,1.9,5.1,1.6,0.6,0.1,0.2,0,90.5,1.9,7.6,0.501,0.091,estaciones
687a5e5d9b36b04cf0b806eb,aguascalientes,6,Ent. Pabellón de Arteaga - San José de Gracia,01031,AGS-019,T. C. Aguascalientes - Zacatecas,3,1,0,22.146265,-102.296845,4398,6.6,88.3,0.7,1.4,1.8,0.6,0.4,0.2,0,94.9,0.7,4.4,0.5,0.125,estaciones
