station_id,year,tdpa
687a5e5d9b36b04cf0b7fd05,2024,18831
687a5e5d9b36b04cf0b7fd05,2023,17877
687a5e5d9b36b04cf0b7fd05,2022,17438
687a5e5d9b36b04cf0b7fd05,2021,15004
687a5e5d9b36b04cf0b7fd05,2020,13593
687a5e5d9b36b04cf0b7fd05,2019,15120
687a5e5d9b36b04cf0b7fd05,2018,13432
687a5e5d9b36b04cf0b7fd05,2017,10973
687a5e5d9b36b04cf0b7fd05,2016,9818
687a5e5d9b36b04cf0b7fd05,2015,9169
687a5e5d9b36b04cf0b7fd05,2014,8024
687a5e5d9b36b04cf0b7fd05,2013,6911
687a5e5d9b36b04cf0b7fd05,2012,6243
687a5e5d9b36b04cf0b7fd05,2011,5666
687a5e5d9b36b04cf0b7fd05,2010,5363
687a5e5d9b36b04cf0b7fd06,2024,19225
687a5e5d9b36b04cf0b7fd06,2023,18538
687a5e5d9b36b04cf0b7fd06,2022,20539
687a5e5d9b36b04cf0b7fd06,2021,16613
687a5e5d9b36b04cf0b7fd06,2020,15153
687a5e5d9b36b04cf0b7fd06,2019,14568
687a5e5d9b36b04cf0b7fd06,2018,12291
687a5e5d9b36b04cf0b7fd06,2017,10294
687a5e5d9b36b04cf0b7fd06,2016,9725
687a5e5d9b36b04cf0b7fd06,2015,9683
687a5e5d9b36b04cf0b7fd06,2014,8076
687a5e5d9b36b04cf0b7fd06,2013,6803
687a5e5d9b36b04cf0b7fd06,2012,6526
687a5e5d9b36b04cf0b7fd06,2011,5713
687a5e5d9b36b04cf0b7fd06,2010,5363
687a5e5d9b36b04cf0b7fd07,2024,1198
687a5e5d9b36b04cf0b7fd07,2023,1149
687a5e5d9b36b04cf0b7fd07,2022,1158
687a5e5d9b36b04cf0b7fd07,2021,1178
687a5e5d9b36b04cf0b7fd07,2020,1058
687a5e5d9b36b04cf0b7fd07,2019,1105
687a5e5d9b36b04cf0b7fd07,2018,1192
687a5e5d9b36b04cf0b7fd07,2017,1244
687a5e5d9b36b04cf0b7fd07,2016,1029
687a5e5d9b36b04cf0b7fd07,2015,1040
687a5e5d9b36b04cf0b7fd07,2014,1561
687a5e5d9b36b04cf0b7fd07,2013,1560
687a5e5d9b36b04cf0b7fd07,2012,2197
687a5e5d9b36b04cf0b7fd07,2011,2123
687a5e5d9b36b04cf0b7fd07,2010,1918
687a5e5d9b36b04cf0b7fd08,2024,12394
687a5e5d9b36b04cf0b7fd08,2023,12678
687a5e5d9b36b04cf0b7fd08,2022,11977
687a5e5d9b36b04cf0b7fd0a,2024,12737
687a5e5d9b36b04cf0b7fd0a,2023,13071
687a5e5d9b36b04cf0b7fd0a,2022,11829
687a5e5d9b36b04cf0b80bb1,2024,11251
687a5e5d9b36b04cf0b80bb1,2023,11628
687a5e5d9b36b04cf0b80bb1,2022,10859
687a5e5d9b36b04cf0b80bb3,2024,11927
687a5e5d9b36b04cf0b80bb3,2023,12005
687a5e5d9b36b04cf0b80bb3,2022,10850
687a5e5d9b36b04cf0b80bb5,2024,6056
687a5e5d9b36b04cf0b80bb5,2023,6581
687a5e5d9b36b04cf0b80bb5,2022,5934
687a5e5d9b36b04cf0b80bb7,2024,6079
687a5e5d9b36b04cf0b80bb7,2023,6702
687a5e5d9b36b04cf0b80bb7,2022,6173
687a5e5d9b36b04cf0b80bb9,2024,6187
687a5e5d9b36b04cf0b80bb9,2023,6387
687a5e5d9b36b04cf0b80bb9,2022,6400
687a5e5d9b36b04cf0b80bbb,2024,6421
687a5e5d9b36b04cf0b80bbb,2023,5952
687a5e5d9b36b04cf0b80bbb,2022,5945
687a5e5d9b36b04cf0b80bbd,2024,6367
687a5e5d9b36b04cf0b80bbd,2023,6339
687a5e5d9b36b04cf0b80bbd,2022,6568
687a5e5d9b36b04cf0b80bbf,2024,6458
687a5e5d9b36b04cf0b80bbf,2023,6387
687a5e5d9b36b04cf0b80bbf,2022,6578
687a5e5d9b36b04cf0b80bc1,2024,10043
687a5e5d9b36b04cf0b80bc1,2023,9805
687a5e5d9b36b04cf0b80bc1,2022,9726
687a5e5d9b36b04cf0b80bc3,2024,8947
687a5e5d9b36b04cf0b80bc3,2023,8265
687a5e5d9b36b04cf0b80bc3,2022,7874
687a5e5d9b36b04cf0b80bc5,2024,8622
687a5e5d9b36b04cf0b80bc5,2023,8112
687a5e5d9b36b04cf0b80bc5,2022,7608
687a5e5d9b36b04cf0b80bc7,2024,10569
687a5e5d9b36b04cf0b80bc7,2023,10974
687a5e5d9b36b04cf0b80bc7,2022,10778
687a5e5d9b36b04cf0b80bc9,2024,11570
687a5e5d9b36b04cf0b80bc9,2023,12222
687a5e5d9b36b04cf0b80bc9,2022,10509
687a5e5d9b36b04cf0b80bcb,2024,5386
687a5e5d9b36b04cf0b80bcb,2023,5040
687a5e5d9b36b04cf0b80bcb,2022,5531
687a5e5d9b36b04cf0b80bcd,2024,5354
687a5e5d9b36b04cf0b80bcd,2023,5219
687a5e5d9b36b04cf0b80bcd,2022,5632
687a5e5d9b36b04cf0b80bcf,2024,2580
687a5e5d9b36b04cf0b80bcf,2023,2532
687a5e5d9b36b04cf0b80bcf,2022,2715
687a5e5d9b36b04cf0b80bd3,2024,5099
687a5e5d9b36b04cf0b80bd3,2023,5223
687a5e5d9b36b04cf0b80bd3,2022,4352
687a5e5d9b36b04cf0b80bd6,2024,32987
687a5e5d9b36b04cf0b80bd6,2023,31255
687a5e5d9b36b04cf0b80bd6,2022,28978
687a5e5d9b36b04cf0b80bd6,2021,23527
687a5e5d9b36b04cf0b80bd6,2020,20098
687a5e5d9b36b04cf0b80bd6,2019,23429
687a5e5d9b36b04cf0b80bd6,2018,19911
687a5e5d9b36b04cf0b80bd6,2017,26130
687a5e5d9b36b04cf0b80bd6,2016,23466
687a5e5d9b36b04cf0b80bd6,2015,22561
687a5e5d9b36b04cf0b80bd6,2014,17183
687a5e5d9b36b04cf0b80bd6,2013,17239
687a5e5d9b36b04cf0b80bd6,2012,17684
687a5e5d9b36b04cf0b80bd6,2011,18068
687a5e5d9b36b04cf0b80bd6,2010,15995
687a5e5d9b36b04cf0b80bd7,2024,34722
687a5e5d9b36b04cf0b80bd7,2023,33278
687a5e5d9b36b04cf0b80bd7,2022,28854
687a5e5d9b36b04cf0b80bd7,2021,22590
687a5e5d9b36b04cf0b80bd7,2020,20712
687a5e5d9b36b04cf0b80bd7,2019,22516
687a5e5d9b36b04cf0b80bd7,2018,19926
687a5e5d9b36b04cf0b80bd7,2017,25652
687a5e5d9b36b04cf0b80bd7,2016,22691
687a5e5d9b36b04cf0b80bd7,2015,23191
