plaza_id,state_slug,u1_carretera_id,u2_caseta_name,u2_carretera_raw,ruta,match_method
68798c739b36b04cf0b7bfcc,aguascalientes,,Zacatecas,Cuauhtémoc-Osiris,MEX-045D,unmatched
68798c739b36b04cf0b7c2c1,aguascalientes,31,El Chichimeco,Libramiento Poniente de Aguascalientes,MEX-045D,tematico_parent
68798c739b36b04cf0b7c054,baja california,72,Puente Colorado,Sonoita-Mexicali (LIBRE),MEX-002,tematico_parent
68798c739b36b04cf0b7c211,baja california,69,Mexicali A1,Libramiento de Mexicali,MEX-D,tematico_parent
68798c739b36b04cf0b7c212,baja california,64,Mexicali A2,Libramiento de Mexicali,MEX-D,tematico_parent
68798c739b36b04cf0b7c234,baja california,72,Puente Inter. San Luis Río Colorado II (Cucapá),Sonoita - Mexicali,MEX-002,tematico_parent
68798c739b36b04cf0b7c2cf,baja california,82,Playas de Tijuana,Tijuana-San Miguel,MEX-001D,tematico_parent
68798c739b36b04cf0b7c2d0,baja california,82,Rosarito,Tijuana-San Miguel,MEX-001D,tematico_parent
68798c739b36b04cf0b7c2d1,baja california,82,Nodo Popotla,Tijuana-San Miguel,MEX-001D,tematico_parent
68798c739b36b04cf0b7c2d2,baja california,82,Ensenada,Tijuana-San Miguel,MEX-001D,tematico_parent
68798c739b36b04cf0b7c2f5,baja california,71,Centinela,Mexicali-Tijuana,MEX-002D,tematico_parent
68798c739b36b04cf0b7c2f6,baja california,77,El Hongo,Mexicali-Tijuana,MEX-002D,tematico_parent
68798c739b36b04cf0b7c2f9,baja california,75,Tijuana,Mexicali-Tijuana,MEX-002D,tematico_parent
68798c739b36b04cf0b7bfc7,baja california sur,104,Aeropuerto los Cabos,Aeropuerto los Cabos-San José del Cabo,MEX-001D,tematico_parent
68798c739b36b04cf0b7bfc9,baja california sur,104,San José del Cabo,Aeropuerto los Cabos-San José del Cabo,MEX-001D,tematico_parent
68798c739b36b04cf0b7c261,baja california sur,116,Cabo San Lucas,San José del Cabo - Cabo San Lucas,MEX-001D,tematico_parent
68798c739b36b04cf0b7c264,baja california sur,113,El Mangle,Ramal a el Mangle,MEX-001D,tematico_parent
68798c739b36b04cf0b7c045,campeche,124,Seybaplaya,Champotón-Campeche,MEX-180D,tematico_parent
68798c739b36b04cf0b7c101,campeche,141,Puente Zacatal,Villahermosa-Cd. Del Carmen (LIBRE),MEX-180,tematico_parent
68798c739b36b04cf0b7c245,campeche,127,Puente de la Unidad,Cd. Del Carmen-Campeche,MEX-180,tematico_parent
68798c739b36b04cf0b7c2d5,campeche,142,Puente Grijalva,Villahermosa-Francisco Escárcega (LIBRE),MEX-186,tematico_parent
68798c739b36b04cf0b7c2d6,campeche,142,Puente Usumacinta,Villahermosa-Francisco Escárcega (LIBRE),MEX-186,tematico_parent
68798c739b36b04cf0b7bfcd,chiapas,192,Chiapa de Corzo,Tuxtla Gutiérrez-San Cristóbal de las Casas,MEX-190D,tematico_parent
68798c739b36b04cf0b7c121,chiapas,153,Las Choapas,Las Choapas-Ocozocoautla,MEX-187D,tematico_parent
