movement_id,plaza_id,caseta,cve,carretera,ruta,movimiento,km,sen,lat,lon,x_pg,y_pg,zona_geo,estado,vta_2024,pct_A,pct_AR,pct_B,pct_C2,pct_C3,pct_C4,pct_C5,pct_C6,pct_C7,pct_C8,pct_C9,pct_VNC,pct_M,rubro
68798c739b36b04cf0b7bfcc,68798c739b36b04cf0b7bfcc,Zacatecas,049,Cuauhtémoc-Osiris,MEX-045D,Ent. Cuauhtémoc-Ent. Osiris,97.8,0,22.710742,-102.448827,762063.07077579,2513753.0950911,13Q,Aguascalientes,3352692,45.4,0.8,4.4,5,4.3,1.7,22.5,4.6,1,0.1,9.2,0.7,0.3,casetas
68798c739b36b04cf0b7c2c1,68798c739b36b04cf0b7c2c1,El Chichimeco,335-01,Libramiento Poniente de Aguascalientes,MEX-045D,Ent. Montoro-Ent. La Escondida,35.7,0,22.005847,-102.357752,772793.90791222,2435832.1708764,13Q,,2312125,24.9,0.6,1,4.9,6.7,3.5,32.4,8.4,1.3,0.2,15.1,0.8,0.2,casetas
68798c739b36b04cf0b7c2c2,68798c739b36b04cf0b7c2c1,El Chichimeco,335-02,Libramiento Poniente de Aguascalientes,MEX-045D,Ent. Montoro-Ent. El Chichimeco,35.7,0,22.000783,-102.359667,772605.78778522,2435267.8063143,13Q,,45510,53.1,2.3,0.1,7.5,6.3,1.6,16.2,4.9,0.6,0.2,4.9,1.7,0.6,casetas
68798c739b36b04cf0b7c2c3,68798c739b36b04cf0b7c2c1,El Chichimeco,335-03,Libramiento Poniente de Aguascalientes,MEX-045D,Ent. El Chichimeco-Ent. La Escondida,35.7,0,22.005817,-102.357628,772806.77409903,2435829.0692305,13Q,,21651,63.6,0.8,0,4.2,3.7,1.2,15.3,5.9,0.6,0.1,2.6,1.9,0.1,casetas
68798c739b36b04cf0b7c054,68798c739b36b04cf0b7c054,Puente Colorado,136,Sonoita-Mexicali (LIBRE),MEX-002,San Luis Río Colorado-Ejido Monterrey,203.69,0,32.491682,-114.808719,705887.45277211,3597052.5839427,11S,Baja California,5721467,28.5,0.2,1.9,0,3.9,0,9.8,0,0,0,2.4,53.3,0,casetas
68798c739b36b04cf0b7c211,68798c739b36b04cf0b7c211,Mexicali A1,246,Libramiento de Mexicali,MEX-D,Ent. Cuernavaca-Ent. San Felipe,12.7,0,32.532859,-115.409847,649331.45758004,3600616.1549938,11S,Baja California,889297,77.9,1.4,2,3.3,2.5,0.6,6.9,2.3,0.2,0.1,2.5,0,0.3,casetas
68798c739b36b04cf0b7c212,68798c739b36b04cf0b7c212,Mexicali A2,247,Libramiento de Mexicali,MEX-D,Ent. Cuernavaca-Ent. Centinela,12.7,0,32.533452,-115.420732,648308.16074949,3600666.6905824,11S,Baja California,1420726,50,2.6,0.7,4.7,3,1.7,26.6,4.7,0.4,0.1,5,0,0.5,casetas
68798c739b36b04cf0b7c234,68798c739b36b04cf0b7c234,Puente Inter. San Luis Río Colorado II (Cucapá),263,Sonoita - Mexicali,MEX-002,San Luis Río Colorado-Yuma,191,1,32.485401,-114.782192,708394.88061982,3596407.6577204,11S,Baja California,288125,86.2,4.2,0.3,1.6,0.7,0.2,2.3,0.6,0,0,1.5,2.1,0.3,casetas
68798c739b36b04cf0b7c2cf,68798c739b36b04cf0b7c2cf,Playas de Tijuana,011,Tijuana-San Miguel,MEX-001D,Tijuana-Rosarito,11,0,32.514051,-117.109566,489709.05894954,3597421.9622129,11S,Baja California,7635668,97.1,0,0.4,0.5,0.4,0,0.3,0.1,0,0,0,0,1.2,casetas
68798c739b36b04cf0b7c2d0,68798c739b36b04cf0b7c2d0,Rosarito,012,Tijuana-San Miguel,MEX-001D,Rosarito-La Misión,35.427,0,32.311096,-117.044403,495820.12215659,3574920.0386954,11S,Baja California,5047219,92.5,0,1.4,1.7,0.4,0.1,2.6,0.1,0,0,0.5,0,0.7,casetas
