movement_id,mes_num,mes_nombre,porcentaje
68798c739b36b04cf0b7bfcc,1,Ene,8
68798c739b36b04cf0b7bfcc,2,Feb,7.7
68798c739b36b04cf0b7bfcc,3,Mar,8.4
68798c739b36b04cf0b7bfcc,4,Abr,8.5
68798c739b36b04cf0b7bfcc,5,May,8.4
68798c739b36b04cf0b7bfcc,6,Jun,8.3
68798c739b36b04cf0b7bfcc,7,Jul,9.1
68798c739b36b04cf0b7bfcc,8,Ago,9.1
68798c739b36b04cf0b7bfcc,9,Sep,8.1
68798c739b36b04cf0b7bfcc,10,Oct,8.2
68798c739b36b04cf0b7bfcc,11,Nov,7
68798c739b36b04cf0b7bfcc,12,Dic,9.2
68798c739b36b04cf0b7c2c1,1,Ene,9.2
68798c739b36b04cf0b7c2c1,2,Feb,8.5
68798c739b36b04cf0b7c2c1,3,Mar,8.9
68798c739b36b04cf0b7c2c1,4,Abr,9
68798c739b36b04cf0b7c2c1,5,May,9.1
68798c739b36b04cf0b7c2c1,6,Jun,8.7
68798c739b36b04cf0b7c2c1,7,Jul,9.7
68798c739b36b04cf0b7c2c1,8,Ago,7.6
68798c739b36b04cf0b7c2c1,9,Sep,6.6
68798c739b36b04cf0b7c2c1,10,Oct,6.5
68798c739b36b04cf0b7c2c1,11,Nov,7
68798c739b36b04cf0b7c2c1,12,Dic,9.2
68798c739b36b04cf0b7c2c2,1,Ene,7.8
68798c739b36b04cf0b7c2c2,2,Feb,7.7
68798c739b36b04cf0b7c2c2,3,Mar,10.1
68798c739b36b04cf0b7c2c2,4,Abr,9.3
68798c739b36b04cf0b7c2c2,5,May,9.7
68798c739b36b04cf0b7c2c2,6,Jun,8.7
68798c739b36b04cf0b7c2c2,7,Jul,9.7
68798c739b36b04cf0b7c2c2,8,Ago,7.6
68798c739b36b04cf0b7c2c2,9,Sep,6.6
68798c739b36b04cf0b7c2c2,10,Oct,6.5
68798c739b36b04cf0b7c2c2,11,Nov,7
68798c739b36b04cf0b7c2c2,12,Dic,9.3
68798c739b36b04cf0b7c2c3,1,Ene,8.2
68798c739b36b04cf0b7c2c3,2,Feb,7.7
68798c739b36b04cf0b7c2c3,3,Mar,10.1
68798c739b36b04cf0b7c2c3,4,Abr,8.9
68798c739b36b04cf0b7c2c3,5,May,9.7
68798c739b36b04cf0b7c2c3,6,Jun,8.7
68798c739b36b04cf0b7c2c3,7,Jul,9.7
68798c739b36b04cf0b7c2c3,8,Ago,7.6
68798c739b36b04cf0b7c2c3,9,Sep,6.6
68798c739b36b04cf0b7c2c3,10,Oct,6.5
68798c739b36b04cf0b7c2c3,11,Nov,7
68798c739b36b04cf0b7c2c3,12,Dic,9.3
68798c739b36b04cf0b7c054,1,Ene,8.7
68798c739b36b04cf0b7c054,2,Feb,8.4
68798c739b36b04cf0b7c054,3,Mar,9.2
68798c739b36b04cf0b7c054,4,Abr,8.5
68798c739b36b04cf0b7c054,5,May,8.5
68798c739b36b04cf0b7c054,6,Jun,7.8
68798c739b36b04cf0b7c054,7,Jul,8.1
68798c739b36b04cf0b7c054,8,Ago,8
68798c739b36b04cf0b7c054,9,Sep,7.7
68798c739b36b04cf0b7c054,10,Oct,8.5
68798c739b36b04cf0b7c054,11,Nov,8.3
68798c739b36b04cf0b7c054,12,Dic,8.3
68798c739b36b04cf0b7c211,1,Ene,8
68798c739b36b04cf0b7c211,2,Feb,8.2
68798c739b36b04cf0b7c211,3,Mar,9.3
68798c739b36b04cf0b7c211,4,Abr,8.5
68798c739b36b04cf0b7c211,5,May,8.8
68798c739b36b04cf0b7c211,6,Jun,8.2
68798c739b36b04cf0b7c211,7,Jul,7.9
68798c739b36b04cf0b7c211,8,Ago,7.8
68798c739b36b04cf0b7c211,9,Sep,7.7
68798c739b36b04cf0b7c211,10,Oct,8.4
68798c739b36b04cf0b7c211,11,Nov,8.3
68798c739b36b04cf0b7c211,12,Dic,8.9
68798c739b36b04cf0b7c212,1,Ene,8
68798c739b36b04cf0b7c212,2,Feb,7.2
68798c739b36b04cf0b7c212,3,Mar,9.1
68798c739b36b04cf0b7c212,4,Abr,8.6
68798c739b36b04cf0b7c212,5,May,8.9
68798c739b36b04cf0b7c212,6,Jun,8.6
68798c739b36b04cf0b7c212,7,Jul,9.9
