movement_id,year,tdpa
68798c739b36b04cf0b7bfcc,2009,6086
68798c739b36b04cf0b7bfcc,2010,6291
68798c739b36b04cf0b7bfcc,2011,6255
68798c739b36b04cf0b7bfcc,2012,6807
68798c739b36b04cf0b7bfcc,2013,7595
68798c739b36b04cf0b7bfcc,2014,6635
68798c739b36b04cf0b7bfcc,2015,7691
68798c739b36b04cf0b7bfcc,2016,8384
68798c739b36b04cf0b7bfcc,2017,8608
68798c739b36b04cf0b7bfcc,2018,9010
68798c739b36b04cf0b7bfcc,2019,9152
68798c739b36b04cf0b7bfcc,2020,7538
68798c739b36b04cf0b7bfcc,2021,8261
68798c739b36b04cf0b7bfcc,2022,9269
68798c739b36b04cf0b7bfcc,2023,8735
68798c739b36b04cf0b7bfcc,2024,9160
68798c739b36b04cf0b7c2c1,2009,0
68798c739b36b04cf0b7c2c1,2010,0
68798c739b36b04cf0b7c2c1,2011,0
68798c739b36b04cf0b7c2c1,2012,0
68798c739b36b04cf0b7c2c1,2013,0
68798c739b36b04cf0b7c2c1,2014,0
68798c739b36b04cf0b7c2c1,2015,0
68798c739b36b04cf0b7c2c1,2016,0
68798c739b36b04cf0b7c2c1,2017,0
68798c739b36b04cf0b7c2c1,2018,0
68798c739b36b04cf0b7c2c1,2019,0
68798c739b36b04cf0b7c2c1,2020,0
68798c739b36b04cf0b7c2c1,2021,0
68798c739b36b04cf0b7c2c1,2022,0
68798c739b36b04cf0b7c2c1,2023,0
68798c739b36b04cf0b7c2c1,2024,6317
68798c739b36b04cf0b7c2c2,2009,0
68798c739b36b04cf0b7c2c2,2010,0
68798c739b36b04cf0b7c2c2,2011,0
68798c739b36b04cf0b7c2c2,2012,0
68798c739b36b04cf0b7c2c2,2013,0
68798c739b36b04cf0b7c2c2,2014,0
68798c739b36b04cf0b7c2c2,2015,0
68798c739b36b04cf0b7c2c2,2016,0
68798c739b36b04cf0b7c2c2,2017,0
68798c739b36b04cf0b7c2c2,2018,0
68798c739b36b04cf0b7c2c2,2019,0
68798c739b36b04cf0b7c2c2,2020,0
68798c739b36b04cf0b7c2c2,2021,0
68798c739b36b04cf0b7c2c2,2022,0
68798c739b36b04cf0b7c2c2,2023,0
68798c739b36b04cf0b7c2c2,2024,124
68798c739b36b04cf0b7c2c3,2009,0
68798c739b36b04cf0b7c2c3,2010,0
68798c739b36b04cf0b7c2c3,2011,0
68798c739b36b04cf0b7c2c3,2012,0
68798c739b36b04cf0b7c2c3,2013,0
68798c739b36b04cf0b7c2c3,2014,0
68798c739b36b04cf0b7c2c3,2015,0
68798c739b36b04cf0b7c2c3,2016,0
68798c739b36b04cf0b7c2c3,2017,0
68798c739b36b04cf0b7c2c3,2018,0
68798c739b36b04cf0b7c2c3,2019,0
68798c739b36b04cf0b7c2c3,2020,0
68798c739b36b04cf0b7c2c3,2021,0
68798c739b36b04cf0b7c2c3,2022,0
68798c739b36b04cf0b7c2c3,2023,0
68798c739b36b04cf0b7c2c3,2024,59
68798c739b36b04cf0b7c054,2009,5010
68798c739b36b04cf0b7c054,2010,4325
68798c739b36b04cf0b7c054,2011,3796
68798c739b36b04cf0b7c054,2012,4395
68798c739b36b04cf0b7c054,2013,4976
68798c739b36b04cf0b7c054,2014,4756
68798c739b36b04cf0b7c054,2015,5038
68798c739b36b04cf0b7c054,2016,5282
68798c739b36b04cf0b7c054,2017,4676
68798c739b36b04cf0b7c054,2018,4641
68798c739b36b04cf0b7c054,2019,5552
68798c739b36b04cf0b7c054,2020,4091
68798c739b36b04cf0b7c054,2021,8512
68798c739b36b04cf0b7c054,2022,8958
68798c739b36b04cf0b7c054,2023,9316
68798c739b36b04cf0b7c054,2024,15632
68798c739b36b04cf0b7c211,2009,726
68798c739b36b04cf0b7c211,2010,747
68798c739b36b04cf0b7c211,2011,938
68798c739b36b04cf0b7c211,2012,1128
68798c739b36b04cf0b7c211,2013,1168
68798c739b36b04cf0b7c211,2014,901
68798c739b36b04cf0b7c211,2015,1074
68798c739b36b04cf0b7c211,2016,1245
68798c739b36b04cf0b7c211,2017,1391
68798c739b36b04cf0b7c211,2018,1596
68798c739b36b04cf0b7c211,2019,1646
68798c739b36b04cf0b7c211,2020,1504
68798c739b36b04cf0b7c211,2021,2089
68798c739b36b04cf0b7c211,2022,2319
68798c739b36b04cf0b7c211,2023,2399
68798c739b36b04cf0b7c211,2024,2430
68798c739b36b04cf0b7c212,2009,726
68798c739b36b04cf0b7c212,2010,747
68798c739b36b04cf0b7c212,2011,938
68798c739b36b04cf0b7c212,2012,1128
68798c739b36b04cf0b7c212,2013,1168
68798c739b36b04cf0b7c212,2014,901
68798c739b36b04cf0b7c212,2015,1074
68798c739b36b04cf0b7c212,2016,1245
68798c739b36b04cf0b7c212,2017,1391
68798c739b36b04cf0b7c212,2018,1596
68798c739b36b04cf0b7c212,2019,1646
68798c739b36b04cf0b7c212,2020,1504
68798c739b36b04cf0b7c212,2021,3725
68798c739b36b04cf0b7c212,2022,3931
68798c739b36b04cf0b7c212,2023,4391
68798c739b36b04cf0b7c212,2024,3882
68798c739b36b04cf0b7c234,2011,692
68798c739b36b04cf0b7c234,2012,873
68798c739b36b04cf0b7c234,2013,858
68798c739b36b04cf0b7c234,2014,808
68798c739b36b04cf0b7c234,2015,956
68798c739b36b04cf0b7c234,2016,1179
68798c739b36b04cf0b7c234,2017,1391
68798c739b36b04cf0b7c234,2018,1597
68798c739b36b04cf0b7c234,2019,1505
68798c739b36b04cf0b7c234,2020,1222
68798c739b36b04cf0b7c234,2021,873
68798c739b36b04cf0b7c234,2022,733
68798c739b36b04cf0b7c234,2023,762
68798c739b36b04cf0b7c234,2024,787
68798c739b36b04cf0b7c2cf,2009,11690
68798c739b36b04cf0b7c2cf,2010,12108
68798c739b36b04cf0b7c2cf,2011,9125
68798c739b36b04cf0b7c2cf,2012,9788
68798c739b36b04cf0b7c2cf,2013,10136
68798c739b36b04cf0b7c2cf,2014,10565
68798c739b36b04cf0b7c2cf,2015,12868
68798c739b36b04cf0b7c2cf,2016,14222
68798c739b36b04cf0b7c2cf,2017,15263
68798c739b36b04cf0b7c2cf,2018,16455
68798c739b36b04cf0b7c2cf,2019,16771
68798c739b36b04cf0b7c2cf,2020,15335
68798c739b36b04cf0b7c2cf,2021,18515
68798c739b36b04cf0b7c2cf,2022,20987
68798c739b36b04cf0b7c2cf,2023,24355
68798c739b36b04cf0b7c2cf,2024,20862
68798c739b36b04cf0b7c2d0,2009,7330
68798c739b36b04cf0b7c2d0,2010,7291
68798c739b36b04cf0b7c2d0,2011,8244
68798c739b36b04cf0b7c2d0,2012,9475
68798c739b36b04cf0b7c2d0,2013,7676
68798c739b36b04cf0b7c2d0,2014,6260
68798c739b36b04cf0b7c2d0,2015,9005
68798c739b36b04cf0b7c2d0,2016,10444
68798c739b36b04cf0b7c2d0,2017,11250
68798c739b36b04cf0b7c2d0,2018,12104
68798c739b36b04cf0b7c2d0,2019,12752
68798c739b36b04cf0b7c2d0,2020,9962
68798c739b36b04cf0b7c2d0,2021,14313
68798c739b36b04cf0b7c2d0,2022,14871
68798c739b36b04cf0b7c2d0,2023,14286
68798c739b36b04cf0b7c2d0,2024,13790
68798c739b36b04cf0b7c2d1,2012,732
68798c739b36b04cf0b7c2d1,2013,659
68798c739b36b04cf0b7c2d1,2014,465
68798c739b36b04cf0b7c2d1,2015,824
68798c739b36b04cf0b7c2d1,2016,1084
68798c739b36b04cf0b7c2d1,2017,1167
68798c739b36b04cf0b7c2d1,2018,1279
68798c739b36b04cf0b7c2d1,2019,1705
68798c739b36b04cf0b7c2d1,2020,2322
68798c739b36b04cf0b7c2d1,2021,3146
68798c739b36b04cf0b7c2d1,2022,3205
68798c739b36b04cf0b7c2d1,2023,3088
68798c739b36b04cf0b7c2d1,2024,3151
68798c739b36b04cf0b7c2d2,2009,10403
68798c739b36b04cf0b7c2d2,2010,10478
68798c739b36b04cf0b7c2d2,2011,10941
68798c739b36b04cf0b7c2d2,2012,10883
68798c739b36b04cf0b7c2d2,2013,10848
68798c739b36b04cf0b7c2d2,2014,11026
68798c739b36b04cf0b7c2d2,2015,12243
68798c739b36b04cf0b7c2d2,2016,13449
68798c739b36b04cf0b7c2d2,2017,13893
68798c739b36b04cf0b7c2d2,2018,14543
68798c739b36b04cf0b7c2d2,2019,13633
68798c739b36b04cf0b7c2d2,2020,10850
68798c739b36b04cf0b7c2d2,2021,15517
68798c739b36b04cf0b7c2d2,2022,16335
68798c739b36b04cf0b7c2d2,2023,15394
68798c739b36b04cf0b7c2d2,2024,16063
68798c739b36b04cf0b7c2f5,2009,604
68798c739b36b04cf0b7c2f5,2010,529
68798c739b36b04cf0b7c2f5,2011,588
68798c739b36b04cf0b7c2f5,2012,715
68798c739b36b04cf0b7c2f5,2013,545
68798c739b36b04cf0b7c2f5,2014,546
68798c739b36b04cf0b7c2f5,2015,642
68798c739b36b04cf0b7c2f5,2016,773
68798c739b36b04cf0b7c2f5,2017,841
68798c739b36b04cf0b7c2f5,2018,776
68798c739b36b04cf0b7c2f5,2019,780
