state_slug,tipo,red,categoria,valor
campeche,NS,redFL,A,409.46
campeche,NS,redFL,B,664.66
campeche,NS,redFL,C,197.75
campeche,NS,redFL,D,22.94
campeche,NS,redFL,E,0
campeche,NS,redFL,F,0
campeche,NS,redFL,total,1294.81
campeche,NS,redFC,A,0
campeche,NS,redFC,B,39.8
campeche,NS,redFC,C,0
campeche,NS,redFC,D,0
campeche,NS,redFC,E,0
campeche,NS,redFC,F,0
campeche,NS,redFC,total,39.8
campeche,NS,redEL,A,42.9
campeche,NS,redEL,B,75.1
campeche,NS,redEL,C,0
campeche,NS,redEL,D,0
campeche,NS,redEL,E,0
campeche,NS,redEL,F,0
campeche,NS,redEL,total,118
campeche,NS,redEC,A,0
campeche,NS,redEC,B,0
campeche,NS,redEC,C,0
campeche,NS,redEC,D,0
campeche,NS,redEC,E,0
campeche,NS,redEC,F,0
campeche,NS,redEC,total,0
campeche,VKABC,redFL,1,1735500425.04
campeche,VKABC,redFL,2,82263766.74
campeche,VKABC,redFL,3,431238830.22
campeche,VKABC,redFL,total,2249003022
campeche,VKABC,redFC,1,91651890
campeche,VKABC,redFC,2,5262348
campeche,VKABC,redFC,3,33358996.8
campeche,VKABC,redFC,total,130273234.8
campeche,VKABC,redEL,1,63592939.2
campeche,VKABC,redEL,2,1046137.8
campeche,VKABC,redEL,3,8280384
campeche,VKABC,redEL,total,72919461
campeche,VKABC,redEC,1,0
campeche,VKABC,redEC,2,0
campeche,VKABC,redEC,3,0
campeche,VKABC,redEC,total,0
campeche,RVV,redFL,1,12
campeche,RVV,redFL,2,110.58
campeche,RVV,redFL,3,115.59
campeche,RVV,redFL,4,127.19
campeche,RVV,redFL,5,63.83
campeche,RVV,redFL,6,52.39
campeche,RVV,redFL,7,229.53
campeche,RVV,redFL,8,107.19
campeche,RVV,redFL,9,116.15
campeche,RVV,redFL,10,185.81
campeche,RVV,redFL,11,22.94
campeche,RVV,redFL,12,124.91
campeche,RVV,redFL,13,26.7
campeche,RVV,redFL,14,0
campeche,RVV,redFL,15,0
campeche,RVV,redFL,16,0
campeche,RVV,redFL,total,1294.81
campeche,RVV,redFC,1,0
campeche,RVV,redFC,2,0
campeche,RVV,redFC,3,0
campeche,RVV,redFC,4,0
campeche,RVV,redFC,5,0
campeche,RVV,redFC,6,0
campeche,RVV,redFC,7,0
campeche,RVV,redFC,8,0
campeche,RVV,redFC,9,0
campeche,RVV,redFC,10,0
campeche,RVV,redFC,11,39.8
campeche,RVV,redFC,12,0
campeche,RVV,redFC,13,0
campeche,RVV,redFC,14,0
campeche,RVV,redFC,15,0
campeche,RVV,redFC,16,0
campeche,RVV,redFC,total,39.8
campeche,RVV,redEL,1,0
campeche,RVV,redEL,2,0
campeche,RVV,redEL,3,70.6
campeche,RVV,redEL,4,43.3
campeche,RVV,redEL,5,0
campeche,RVV,redEL,6,0
campeche,RVV,redEL,7,0
campeche,RVV,redEL,8,0
campeche,RVV,redEL,9,0
campeche,RVV,redEL,10,0
campeche,RVV,redEL,11,0
campeche,RVV,redEL,12,4.1
campeche,RVV,redEL,13,0
campeche,RVV,redEL,14,0
campeche,RVV,redEL,15,0
campeche,RVV,redEL,16,0
campeche,RVV,redEL,total,118
campeche,RVV,redEC,1,0
campeche,RVV,redEC,2,0
campeche,RVV,redEC,3,0
campeche,RVV,redEC,4,0
campeche,RVV,redEC,5,0
campeche,RVV,redEC,6,0
campeche,RVV,redEC,7,0
campeche,RVV,redEC,8,0
campeche,RVV,redEC,9,0
campeche,RVV,redEC,10,0
campeche,RVV,redEC,11,0
campeche,RVV,redEC,12,0
campeche,RVV,redEC,13,0
campeche,RVV,redEC,14,0
campeche,RVV,redEC,15,0
campeche,RVV,redEC,16,0
campeche,RVV,redEC,total,0
